Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login_001,Chrome 121.0.0.0,,,01-02-2024 13:28:26,01-02-2024 13:29:02,36.381s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login_001,Chrome 121.0.0.0,,,01-02-2024 13:28:26,01-02-2024 13:29:02,36.202s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:28:26,01-02-2024 13:28:28,1.995s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:28:28,01-02-2024 13:28:30,1.955s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages/Amazon_Signin/Valid credential/Page_Amazon.com. Spend less. Smile more/span_Account  Lists""))",Chrome 121.0.0.0,,,01-02-2024 13:28:30,01-02-2024 13:28:55,25.339s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages/Amazon_Signin/Valid credential/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""rmeswar003@gmail.com"")",Chrome 121.0.0.0,,,01-02-2024 13:28:55,01-02-2024 13:28:58,2.836s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages/Amazon_Signin/Valid credential/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,01-02-2024 13:28:58,01-02-2024 13:29:01,2.540s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Pages/Amazon_Signin/Valid credential/Page_Amazon Sign-In/input_Forgot your password_password""), ""9JFooAukEDvTa89YHkAC3w=="")",Chrome 121.0.0.0,,,01-02-2024 13:29:01,01-02-2024 13:29:01,0.533s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages/Amazon_Signin/Valid credential/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,01-02-2024 13:29:01,01-02-2024 13:29:02,0.474s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:29:02,01-02-2024 13:29:02,0.394s,PASSED
